#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
EVTOPTAvaly_colony.2;I sure hope I dont catch it;J'espère ne pas l'attraper. ;;;Espero no cogerla;;;;;;;;;x
EVTDESCvaly_colony.2;The lands of [From.Kingdom.GetName] are rife with disease, and one particularly virulent one, the Grey Plague, has reached [From.GetName]!;Les terres de [From.Kingdom.GetName] sont ravagées par la maladie, et une particulièrement virulente, la mort rouge, a frappé [From.GetName] !;;;Las tierras de [From.Kingdom.GetName] están plagadas de enfermedades, y una particularmente virulenta, la muerte roja, ha alcanzado [From.GetName]!;;;;;;;;;x
EVTDESCvaly_colony.3;The Grey Plague outbreak has complete shattered the colony at [Root.GetName]. Nine men of every ten had their skin turned to stone, dying a slow and painful death. The colony has failed as a result.;La mort rouge a complètement ravagé la colonie de [Root.GetName]. Neuf dixièmes des malades sont morts, leur sang ayant quitté leur corps par tous les orifices possibles et leur s'étant déchiqueté comme du parchemin mouillé. Cela a fait échouer la colonie. ;;;La epidemia de muerte roja ha destrozado por completo la colonia de [Root.GetName]. Nueve de cada diez de los que la cogen mueren entre gritos agonizantes, sangrando copiosamente por cada uno de sus orificios, con la piel cayéndose a jirones del cuerpo como pergamino mojado. Esto ha hecho fracasar la colonia.;;;;;;;;;x
EVTOPTAvaly_colony.3;It seems colonising here only ends in horror;Il semble que coloniser cette endroit ne résulte qu'en de terribles horreurs. ;;;Parece que colonizar este lugar solo provoca terribles horrores.;;;;;;;;;x
EVTDESCvaly_colony.4;Whilst in [Root.Location.GetName], you have caught Greyscale! This agonising disease can cause your skin to turn to stone.;Alors que vous étiez à [Root.Location.GetName], vous avez attrapé la mort rouge ! Cette très douloureuse maladie provoque des saignements abondants par tous les orifices et le fissurage de la peau.;;;Mientras estabas en [Root.Location.GetName], has cogido la Muerte Roja! Esta dolorosa enfermedad causa sangrados abundantes y que la piel se desmenuce.;;;;;;;;;x
EVTOPTAvaly_colony.4;This is not going to be pleasant;Cela ne va pas être plaisant.;;;Esto no será agradable.;;;;;;;;;x
EVTDESCvaly_colony.5;Thankfully you did not suffer deadly symptons whilst suffering from Greyscale. You have recovered after experiencing only a mildly painful rash.;Vous n'avez heureusement pas montré les symptômes mortels de la mort rouge. Vous avez guéri après seulement quelques saignements.;;;Afortunadamente no has sufrido ninguno de los síntomas mortales de la muerte roja. Has sando tras unos dolorosos sangrados.;;;;;;;;;x
EVTOPTAvaly_colony.5;Thank [Root.Religion.GetHighGodName];Merci [Root.Religion.GetHighGodName];;;Gracias [Root.Religion.GetHighGodName];;;;;;;;;x
EVTDESCvaly_colony.15A;Whilst marching through [Root.Location.GetName], deep in the wastes of Valyria, you pass a cave. This is when a ferocious old Firewyrm, thirty feet long, suddenly flies out and attacks you! The great red-and-black beast has an insatiable hunger, and is tearing at you with its cruel beak trying to devour you!;Alors que vous traversiez [Root.Location.GetName], vous démenant avec la terrible jungle de valy_colony, vous êtes passé devant une grotte. C'est à ce moment qu'une vouivre bringée longue de 30 pieds s'est envolée et vous a attaqué ! La grande bête aux caractéristiques écailles jade et blanc a une faim insatiable et tente de vous dévorer avec son terrible bec !;;;Mientras atraviesas [Root.Location.GetName], en las profundidades de las junglas de valy_colony, pasas por delante de una cueva. De repente un feroz guiverno pinto, de 30 pies de largo, sale volando de ella y te ataca! ¡La gran bestia de escamas de color jade y blanco posee un insaciable apetito, e intenta devorarte con su terrible pico!;;;;;;;;;x
EVTDESCvaly_colony.15B;The people going about there business around you in [Root.Location.GetName] thought they were safe, that was before a pack of Firewyrms attacked! Hundreds of these monkey-sized beasts descend on the settlement, hunting for easy catches, pecking at them with their cruel beaks and smothering them with countless leathery wings. A group then picks you out...;Les gens de [Root.Location.GetName] pensaient être en sécurité, jusqu'à ce qu'une bande de vouivres ventres-bruns les attaquent ! Des centaines de ces bêtes pas plus grandes que des singes se sont abattues sur la colonie, cherchant des proies faciles, dévorant toutes les personnes qui avaient le malheur de se trouver face à elles... Un groupe de vouivres vous a d'ailleurs enlevé...;;;Los habitantes de [Root.Location.GetName] pensaban que estaban seguros, hasta que de repente una manada de guivernos panzaparda atacó de improvisto! Cientos de estas bestias de tamaño similar al de monos cayeron sobre el asentamiento, a la caza de presas fáciles, picoteando a la gente sin piedad. Entonces veis como un grupo de estas bestias te escoge como objetivo...;;;;;;;;;x
EVTDESCvaly_colony.15C;Deep in the wastes of [Root.Location.GetName] you were camping between some rocks, where you thought you'd be safe from predators. However a dreaded Shadow-wing Firewyrm attacks you in the night! The huge black-scaled beast is like a fireless dragon, yet much more ferocious, and is trying to tear you apart!;Vous campiez dans la canopée des arbres de la jungle de [Root.Location.GetName], pensant être en sécurité. Mais une vouivre aile d'ombre vous a attaqué durant la nuit ! L'immense bête aux écailles noires ne crache pas de feu, mais est bien plus féroce qu'un dragon et elle tente de vous dévorer !;;;Acampas bajo el follaje de los árboles de la jungla de [Root.Location.GetName] pensando estar seguro de los depredadores. Sin embargo, un temible guiverno de alas sombrías te ataca en la noche! La enorme bestia de escamas negras es como un dragón sin fuego pero mucho más feroz, y está tratando de despedazarte!;;;;;;;;;x
OPTAvaly_colony.15;I must defend myself!;Je dois me défendre !;;;Debo defenderme!;;;;;;;;;x
TOOLTIPvaly_colony.16;You kill the Firewyrm;Vous tuez la vouivre;;;Matas al guiverno;;;;;;;;;x
TOOLTIPvaly_colony.17;The Firewyrm mauls you!;La vouivre vous malmène !;;;El guiverno te ataca!;;;;;;;;;x
EVTDESCvaly_colony.16;You managed to evade the Firewyrm attack, and in the process slayed the tyrannical beast. Its corpse now lies before you.;Vous parvenez à esquiver l'attaque de la vouivre et vous tuez la terrible bête. Son corps gît désormais devant vous.;;;Consigues esquivar el ataque del guiverno, y al mismo tiempo consigues matar a la terrible bestia. Su cadáver yace ahora ante ti.;;;;;;;;;x
EVTOPTAvaly_colony.16;I fear no Firewyrms;Je ne crains pas les vouivres !;;;No tengo miedo a los guivernos;;;;;;;;;x
nick_firewyrmsbane;Firewyrmsbane;Fléau-des-Vouivres;;;Plaga de Guivernos;;;;;;;;;x
