ca_mbs_wildling_barracks;Free Folk Levy;;;;;;;;;;;;;x
ca_mbs_wildling_barracks_desc;The Free Folk of Beyond the Wall are known for assembling mighty hosts of fearsome warriors. Owing to the scarcity of smiths north of the Wall most free folk warriors are lightly armoured wield weaponry wrought of stone, wood, and bronze, such as axes and flails, fire-hardened spears and lances, and bows of wood and horn.;;;;;;;;;;;;;x
ca_mbs_thenn_barracks;Thenn Levy;;;;;;;;;;;;;x
ca_mbs_thenn_barracks_desc;The Thenns are perhaps the most organised of the Free Folk beyond the Wall. As a result of this and their ability to smelt bronze the Thenns are more well-armed and armored than most free folk, with bronze helms, axes, short stabbing spears with leaf-shaped heads, shirts sewn with bronze discs, and plain unadorned shields of black boiled leather with bronze rims and bosses.;;;;;;;;;;;;;x
ca_mbs_nightswatch_barracks;The Wall Barracks;;;;;;;;;;;;;x
ca_mbs_nightswatch_barracks_desc;The lands surrounding the Wall are not prosperous enough to support large forces of cavalry, meaning that many of those who hold the wall must fight on foot, often wielding bows to maximise their strong defensive position.;;;;;;;;;;;;;x
ca_mbs_northman_barracks;Northman Barracks;;;;;;;;;;;;;x
ca_mbs_northman_barracks_desc;Northmen are descended from the First Men, with the Andals having a far lesser influence than in the rest of Westeros. As a result, warfare in the North typically relies less on heavy cavalry than the rest of the Seven Kingdoms. Instead the main power of Northern armies typically comes from their powerful heavy infantry and pikemen.;;;;;;;;;;;;;x
ca_mbs_skagos_barracks;Skagosi Barracks;;;;;;;;;;;;;x
ca_mbs_skagos_barracks_desc;The Stoneborn of Skagos are considered little better than wildlings and they fight in a similar manner to the Free Folk beyond the Wall, with little reliance upon cavalry, but with a greater use of heavy armour thanks to their greater ability to trade.;;;;;;;;;;;;;x
ca_mbs_hill_clans_barracks;Hill Clansman Barracks;;;;;;;;;;;;;x
ca_mbs_hill_clans_barracks_desc;The hill clans of the mountains are a fearsome martial people, hardened by raids by Ironborn, Wildlings and their own inter-clan feuds. In battle clan champions fight with huge two-handed greatswords or axes and armor themselves with mail byrnies. The clansmen are also known for breeding shaggy, runtish horses which some of them ride to battle.;;;;;;;;;;;;;x
ca_mbs_wolfswood_barracks;Wolfswood Barracks;;;;;;;;;;;;;x
ca_mbs_wolfswood_barracks_desc;The Wolfswood is a dangerous place and as a result those that make their homes within it are experience woodsmen, skilled at hunting beasts and tracking their prey. As a result in times of war they serve as scouts and skilled archers, hunting men much as they would wolf or boar.;;;;;;;;;;;;;x
ca_mbs_rills_barracks;Rills Barracks;;;;;;;;;;;;;x
ca_mbs_rills_barracks_desc;The Rills are a landscape of rolling hills, grasslands, and streams, perfect for breeding horses. The region has been renowned for breeding the finest horses north of the Neck since it was ruled by the Kings of House Ryder in the Age of Heroes. As a result in times of war levies from the Rills often field considerably more cavalry than is normal for the North.;;;;;;;;;;;;;x
