EVTDESCmore_bloodlines.1;Not for nothing is the Mormont sigil a bear: I have long had vivid dreams of being some great beast of the forest hunting its prey, now a great snow bear has emerged from the woods. Strangely docile it seems to be seeking me out, almost as if it recognises me…;;;;;;;;;;;;;x
EVTOPTAmore_bloodlines.1;I am a skinchanger, and I claim the bear as my second skin!;;;;;;;;;;;;;x
EVTOPTBmore_bloodlines.1;I am no beast!;;;;;;;;;;;;;x
EVTDESCmore_bloodlines.2;Not for nothing is the Mormont sigil a bear: I have long had vivid dreams of being some great beast of the forest hunting its prey, now a great brown bear has emerged from the woods. Strangely docile it seems to be seeking me out, almost as if it recognises me…;;;;;;;;;;;;;x
EVTOPTAmore_bloodlines.2;I am a skinchanger, and I claim the bear as my second skin!;;;;;;;;;;;;;x
EVTOPTBmore_bloodlines.2;I am no beast!;;;;;;;;;;;;;x
EVTDESCmore_bloodlines.3;Not for nothing is the Blackwood sigil a raven: I have long had vivid dreams of flying on inky black wings. Today a large raven landed outside my window and tried to hop inside. Strangely docile it seems to be seeking me out, almost as if it recognises me…;;;;;;;;;;;;;x
EVTOPTAmore_bloodlines.3;I am a skinchanger, and I claim the raven as my second skin!;;;;;;;;;;;;;x
EVTOPTBmore_bloodlines.3;I am no beast!;;;;;;;;;;;;;x
EVTDESCmore_bloodlines.4;I have been having vivid dreams of late, dreams of the leaf and stone, dreams of what is past and what may yet be to come. Could these dreams have meaning? My bloodline is strong with the ancient blood of the First Men, the ancient folk who communed with the children of the Forest, could these dreams be messages from the Old Gods themselves?;;;;;;;;;;;;;x
EVTOPTAmore_bloodlines.4;I embrace the Old God’s Gift!;;;;;;;;;;;;;x
EVTOPTBmore_bloodlines.4;Best not to dwell upon dreams.;;;;;;;;;;;;;x
EVTDESCmore_bloodlines.5;You bear the blood of many a legendary hunter, and the thrill of the chase as you stalk your prey has always held an appeal for you. Do you embrace the calling of your ancestors and become a committed huntsman?;;;;;;;;;;;;;x
EVTOPTAmore_bloodlines.5;Hunting is in my blood.;;;;;;;;;;;;;x
EVTOPTBmore_bloodlines.5;Hunting bores me.;;;;;;;;;;;;;x
EVTDESCmore_bloodlines.6;Your bloodline has long been associated with sorcery, mysticism and fell magics. Do you seek to emulate your ancestors and learn the arcane secrets?;;;;;;;;;;;;;x
EVTOPTAmore_bloodlines.6;I shall seek out the secrets of the world.;;;;;;;;;;;;;x
EVTOPTBmore_bloodlines.6;I am not some woods-witch or hedge wizard!;;;;;;;;;;;;;x
EVTDESCmore_bloodlines.7;Some men say you have black blood, and certainly many of your ancestors have committed foul and unspeakable deeds. Of late you have become more and more tempted to follow in their footsteps.;;;;;;;;;;;;;x
EVTOPTAmore_bloodlines.7;Others deserve to know pain!;;;;;;;;;;;;;x
EVTOPTBmore_bloodlines.7;I am better than the dirt I spring from!;;;;;;;;;;;;;x
EVTDESCmore_bloodlines.8;The Fowler sigil is a falcon, their words are "Let Me Soar" and often as you ride you think of the joys an interest in falconry could bring. Maybe it is your Fowler blood calling to you?;;;;;;;;;;;;;x
EVTOPTAmore_bloodlines.8;I must get myself a bird.;;;;;;;;;;;;;x
EVTOPTBmore_bloodlines.8;There are better uses of my time.;;;;;;;;;;;;;x
EVTDESCmore_bloodlines.9;The Blackmont sigil is a great vulture and your legendary ancestor King Benedict Blackmont was said to have the power to transform himself into a vulture of enormous size. Now a great vulture perches before you, its eyes seeming to pierce your very soul, as if it recognises you. Are the stories true? Were the Blackmonts of old skinchangers?;;;;;;;;;;;;;x
EVTOPTAmore_bloodlines.9;Blackmont blood flows in my veins, this vulture is my second skin!;;;;;;;;;;;;;x
EVTOPTBmore_bloodlines.9;I’ll have no part of this sorcery.;;;;;;;;;;;;;x
EVTDESCmore_bloodlines.10;King Robert Baratheon was a mighty man with prodigious appetites, and his lust was chief amongst them. Lately you have begun to wonder if you might take after him?;;;;;;;;;;;;;x
EVTOPTAmore_bloodlines.10;Why must desire be a sin?;;;;;;;;;;;;;x
EVTOPTBmore_bloodlines.10;There is virtue in restraint.;;;;;;;;;;;;;x
EVTDESCmore_bloodlines.11;Queen Danaerys Stormborn felt that slavery was a cruel injustice to be stamped out wherever possible. You bear her blood, will you follow her example?;;;;;;;;;;;;;x
EVTOPTAmore_bloodlines.11;I must break the chains wherever I find them!;;;;;;;;;;;;;x
EVTOPTBmore_bloodlines.11;It is not my problem to solve.;;;;;;;;;;;;;x
EVTDESCmore_bloodlines.12;Some men say you have black blood, and many of your ancestors have had reputations for being ruled by their anger. Of late you have found yourself become more and more prone to violent outburst.;;;;;;;;;;;;;x
EVTOPTAmore_bloodlines.12;Anger is in my blood.;;;;;;;;;;;;;x
EVTOPTBmore_bloodlines.12;I will think calm thoughts.;;;;;;;;;;;;;x
EVTDESCmore_bloodlines.13;Many of your ancestors have been known for their great beauty, it seems that though not evident at your birth you take after your forebears and you have grown quite beautiful.;;;;;;;;;;;;;x
EVTOPTAmore_bloodlines.13;I have become rather comely.;;;;;;;;;;;;;x
EVTDESCmore_bloodlines.14;Not for nothing is the Stark sigil a direwolf: you have long had vivid dreams of being some great beast of the forest stalking its prey at the head of a mighty pack, now to your amazement a direwolf has emerged from the woods. Thought extinct south of the Wall it seems strangely docile and seems to be seeking you out, almost as if it recognises you…;;;;;;;;;;;;;x
EVTOPTAmore_bloodlines.14;I am a warg, and I recognise the direwolf as my second skin!;;;;;;;;;;;;;x
EVTOPTBmore_bloodlines.14;I am no beast.;;;;;;;;;;;;;x
